2026-09-19T11:50:01 | pid=4036 | wd_lines=0 | 16:49:34 [DefaultDispatcher-worker-3] L1ShadowSyncService - L1Shadow phase=FILTERS 75.1% headers 1556857/1556857 filters 395000/1556857 wallet 395000
2026-09-19T11:51:02 | pid=4036 | wd_lines=0 | 16:49:34 [DefaultDispatcher-worker-3] L1ShadowSyncService - L1Shadow phase=FILTERS 75.1% headers 1556857/1556857 filters 395000/1556857 wallet 395000
2026-09-19T11:52:02 | pid=4036 | wd_lines=0 | 16:51:54 [DefaultDispatcher-worker-5] L1ShadowSyncService - L1Shadow phase=FILTERS 89.6% headers 1556858/1556858 filters 1070000/1556858 wallet 1080000
2026-09-19T11:53:03 | pid=4036 | wd_lines=0 | 16:52:54 [DefaultDispatcher-worker-10] L1ShadowSyncService - L1Shadow phase=FILTERS 99.3% headers 1556858/1556858 filters 1525000/1556858 wallet 1525000
2026-09-19T11:54:04 | pid=4036 | wd_lines=0 | 16:52:54 [DefaultDispatcher-worker-10] L1ShadowSyncService - L1Shadow phase=FILTERS 99.3% headers 1556858/1556858 filters 1525000/1556858 wallet 1525000
2026-09-19T11:55:05 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T11:56:05 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T11:57:06 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T11:58:07 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T11:59:07 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:00:08 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:01:08 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:02:08 | pid=4036 | wd_lines=0 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:03:09 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:04:09 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:05:10 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:06:10 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:07:11 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:08:12 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:09:12 | pid=4036 | wd_lines= | 
2026-09-19T12:10:13 | pid=4036 | wd_lines= | 
2026-09-19T12:11:13 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:12:14 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:13:15 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:14:15 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:15:16 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:16:17 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:17:17 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:18:17 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:19:18 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:20:19 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:21:19 | pid=4036 | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:22:19 | pid= | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
2026-09-19T12:23:20 | pid= | wd_lines=2 | 16:54:34 [DefaultDispatcher-worker-14] L1ShadowSyncService - L1Shadow phase=CONNECTING 100.0% headers 1556859/1556859 filters 1555000/1556858 wallet 1555000
